Gender,Age,YearsCodePro,Country,Salary,EdLevel
Man,32.0,8.0,United States,56083.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,25.0,5.0,United States,105000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,26.0,5.0,Other,8256.0,Associate degree / technical diploma
Man,28.0,6.0,United States,100000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,29.0,4.0,France,54049.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,19.0,2.0,United States,88800.0,Secondary school (if completed)
Man,35.0,10.0,United States,95000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,28.0,4.0,United States,67000.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,31.0,8.0,India,34206.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,24.0,3.0,Italy,17508.0,Some college/university study without earning a degree
Man,40.0,3.0,France,37834.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,34.0,5.0,United States,87000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,27.0,4.0,Other,12624.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,39.0,8.0,United States,94000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,25.0,2.0,Germany,51888.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,33.0,3.0,Canada,35395.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,31.0,5.0,United States,72000.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,35.0,10.0,Other,48000.0,"Professional degree (e.g., JD, MD)"
Man,36.0,9.0,United States,94000.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,27.0,5.0,Canada,85085.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Woman,37.0,12.0,United Kingdom,67215.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,32.0,10.0,Italy,38916.0,Some college/university study without earning a degree
Man,27.0,6.0,Hungary,38484.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,26.0,3.0,India,5028.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,35.0,10.0,Canada,30253.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,38.0,1.0,United States,74000.0,Some college/university study without earning a degree
Man,49.0,21.0,United States,100300.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,34.0,10.0,Brazil,24744.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Woman,37.0,15.0,United States,72000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,25.0,3.0,Pakistan,192.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,35.0,12.0,Germany,51888.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,28.0,7.0,United States,98000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,25.0,2.0,United States,64400.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,27.0,2.0,Other,38364.0,Some college/university study without earning a degree
Man,26.0,4.0,Ukraine,29364.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,53.0,22.0,Canada,75631.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,43.0,25.0,Argentina,35028.0,"Professional degree (e.g., JD, MD)"
Man,30.0,9.0,Canada,37816.0,
Man,25.0,2.0,Brazil,15120.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,22.0,1.0,United States,16250.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,30.0,6.0,Switzerland,76237.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
